,price
0,10846590
1,24500000
2,136893510
3,141900000
4,13240586
5,10600000
6,8517778
7,12700000
8,9900000
9,13867791
10,89010000
11,150000000
12,9990000
13,22800000
14,13509421
15,18850052
16,85000000
17,61800000
18,52722487
19,104900000
20,13500000
21,37835597
22,23954676
23,12341000
24,19186000
25,5921400
26,9197448
27,8576244
28,10850000
29,40944700
30,12950000
31,24000000
32,168390000
33,8431662
34,9697109
35,229500000
36,114200061
37,52990000
38,119000000
39,15471500
40,115000000
41,40684539
42,86000000
43,24491138
44,130000000
45,35000000
46,15711300
47,71826959
48,16587074
49,19424397
50,74027567
51,62000000
52,12450000
53,11697503
54,27000000
55,7573561
56,10197000
57,30064020
58,5664341
59,51950000
60,19847061
61,21750000
62,152490000
63,246547171
64,37847000
65,38950000
66,175000000
67,74500000
68,20176941
69,134193500
70,15509395
71,57500000
72,75101502
73,40000000
74,10899637
75,17580720
76,16800000
77,56500000
78,14650000
79,23500000
80,7330440
81,7834910
82,15990000
83,64815530
84,98500000
85,14800000
86,62990000
87,10490000
88,20900000
89,18000000
90,149258558
91,7228155
92,23500000
93,6247460
94,19028856
95,88000000
96,59900000
97,27990000
98,156000000
99,10006819
100,22500000
101,6941195
102,7537807
103,12500000
104,11100000
105,22500000
106,63063207
107,24999000
108,19906220
109,6338873
110,78000000
111,13936000
112,14500000
113,67000000
114,54000000
115,35000000
116,178000000
117,17400000
118,93750000
119,13645193
120,23868000
121,23000000
122,6850000
123,7256330
124,18990000
125,7332116
126,40900000
127,11490000
128,17606234
129,9615124
130,133560000
131,7694038
132,34650000
133,124597929
134,120587020
135,56000000
136,24455368
137,9123400
138,9591911
139,14050000
140,8977500
141,67553034
142,46910472
143,50000000
144,47099900
145,211194969
146,53400000
147,65500000
148,70000000
149,45340889
150,22000000
151,150206875
152,83470000
153,348930819
154,6609454
155,17295455
156,160000000
157,102000000
158,36983117
159,130863000
160,100000000
161,100500000
162,19796539
163,102606740
164,60173080
165,30500000
166,12448080
167,31916000
168,14376232
169,53892000
170,156320000
171,23300000
172,26636010
173,19999900
174,9900000
175,7064820
176,20505276
177,15500000
178,30734587
179,13650000
180,20713585
181,149990000
182,12700000
183,34000000
184,50000000
185,15350000
186,26993838
187,7034635
188,26400000
189,8880000
190,13349999
191,73016000
192,45000000
193,39050875
194,117570000
195,11957900
196,7511600
197,22000000
198,17000000
199,23676796
200,42801611
201,10003566
202,7245002
203,92724080
204,31589200
205,18500000
206,17165266
207,147619768
208,31593120
209,243250000
210,38999999
211,84840000
212,65000000
213,13790000
214,16020721
215,22885200
216,105597484
217,10500000
218,113000000
219,11698416
220,69000000
221,44392530
222,17500000
223,79391370
224,170000000
225,35255791
226,21750000
227,12500000
228,6497187
229,39990000
230,29949630
231,20607783
232,6161342
233,60000000
234,128553459
235,11499999
236,14500000
237,180000000
238,246547171
239,7690741
240,13685585
241,111998000
242,44212680
243,7249481
244,8387700
245,59900000
246,13650000
247,18700000
248,8221140
249,13378342
250,91999000
251,53006438
252,14005622
253,10800000
254,82400000
255,58000000
256,19000000
257,64850000
258,31822257
259,25590000
260,6840403
261,14500000
262,6630000
263,21954390
264,22191190
265,250000000
266,22200648
267,9109030
268,39000000
269,6892900
270,7477360
271,15450000
272,23981169
273,6343152
274,16000000
275,7790000
276,37946435
277,13788742
278,28109700
279,104500000
280,7270560
281,8900000
282,24900000
283,11048000
284,8883284
285,13490000
286,10872765
287,10650000
288,7387633
289,32544000
290,13437867
291,27000000
292,11000000
293,20268062
294,70000000
295,11200000
296,15868073
297,23789694
298,20761200
299,10800000
300,40000000
301,85000000
302,9431640
303,7990725
304,95850000
305,10292088
306,20900000
307,8693852
308,120000000
309,15509395
310,22691340
311,133260000
312,118850000
313,19517775
314,16990000
315,12250000
316,9000000
317,12300000
318,171830000
319,65000000
320,12500000
321,67500000
322,8023455
323,14514005
324,26500000
325,63770000
326,11590000
327,334840000
328,15450000
329,22377265
330,5500000
331,300000000
332,125000000
333,12300000
334,24802781
335,9696622
336,19235052
337,51595400
338,13520000
339,15084530
340,8005267
341,24807771
342,109213650
343,15999000
344,63000000
345,8800000
346,12000000
347,11600000
348,21000000
349,120000000
350,245044800
351,8250000
352,8489362
353,24040000
354,11642400
355,83665000
356,125740000
357,8723875
358,14766000
359,6930000
360,23500000
361,22000000
362,8039150
363,20348929
364,23000000
