,Unnamed: 0,price
1325,1325,46000000
1466,1466,28000000
3355,3355,16200000
3764,3764,21870420
87,87,10490000
4720,4720,84000000
2648,2648,95195600
2786,2786,8664146
1673,1673,114000000
2204,2204,40753590
3663,3663,30373121
193,193,39050875
2655,2655,188750000
4865,4865,97500000
1570,1570,200000000
4027,4027,7795655
2482,2482,24600000
159,159,130863000
3951,3951,40121000
1582,1582,44000000
3037,3037,22500000
3190,3190,243000000
4390,4390,7849496
1366,1366,18753288
4100,4100,43963768
3755,3755,330000000
1391,1391,17200000
3020,3020,23500000
2904,2904,20000000
1455,1455,20577230
2078,2078,38795156
4606,4606,95000000
3312,3312,23000000
2080,2080,115000000
4195,4195,17858691
1062,1062,10879110
4490,4490,7644529
2443,2443,20195396
441,441,29700000
848,848,66895224
2997,2997,8495100
265,265,250000000
439,439,12300000
3329,3329,55500800
4332,4332,30950680
2687,2687,20000000
4013,4013,13000000
1106,1106,7320992
2552,2552,22000000
1622,1622,49000000
1598,1598,136000000
2117,2117,26000000
2577,2577,17550000
446,446,29000000
2912,2912,30000000
2102,2102,13000000
2938,2938,6900000
3278,3278,6721941
4057,4057,27000000
1481,1481,7106326
4256,4256,72000000
40,40,115000000
1808,1808,119922417
3954,3954,63800000
3525,3525,154673167
878,878,20000000
85,85,14800000
3586,3586,8858345
3568,3568,54000000
1612,1612,23000000
3919,3919,7640679
1685,1685,16275573
1623,1623,17700000
3530,3530,183647799
3492,3492,13072251
386,386,10560107
3293,3293,20000000
3357,3357,23132200
2303,2303,25000000
4451,4451,120000000
3053,3053,55000000
3244,3244,30950680
3031,3031,10121440
3799,3799,179056604
2889,2889,128629930
546,546,27900000
1422,1422,9445763
2156,2156,16936650
680,680,70057260
3427,3427,11500000
1308,1308,24900000
1203,1203,24674179
1803,1803,54997550
892,892,202012579
2317,2317,185000000
2420,2420,7532194
3465,3465,35000000
1910,1910,24397788
2428,2428,10860000
4397,4397,250000000
3526,3526,83600000
2964,2964,29000000
2061,2061,11206500
1353,1353,8754619
4588,4588,17137080
284,284,8883284
3146,3146,9240550
4640,4640,7717500
53,53,11697503
949,949,21500000
3930,3930,153000000
151,151,150206875
2178,2178,12800000
869,869,32107152
2041,2041,11300000
3374,3374,45000000
4701,4701,110000000
1522,1522,16400000
2893,2893,25184649
4324,4324,54800000
4392,4392,12500000
3853,3853,12500000
4334,4334,17625960
295,295,11200000
818,818,13999999
1562,1562,76200000
3009,3009,19500000
3563,3563,26904740
165,165,30500000
1607,1607,68000000
969,969,5200000
2064,2064,17200000
3757,3757,6400000
2321,2321,13450000
2043,2043,46341099
1137,1137,20700000
2105,2105,7447813
13,13,22800000
4756,4756,159000000
3670,3670,9827449
1024,1024,9800000
2678,2678,160000000
2803,2803,14100000
3756,3756,11888000
2407,2407,34080444
3987,3987,479871701
347,347,11600000
1519,1519,12500000
1221,1221,17100000
1162,1162,8089171
881,881,44259823
3515,3515,228800000
183,183,34000000
4770,4770,9177245
1949,1949,11730000
4662,4662,29955305
817,817,8175369
2322,2322,31610675
1053,1053,6282792
2104,2104,14500000
4482,4482,47000000
2830,2830,10267025
1960,1960,23000000
126,126,40900000
1488,1488,62000000
3753,3753,23500000
1755,1755,190000000
2518,2518,8613218
4791,4791,10211121
2202,2202,25848790
1302,1302,9969687
2256,2256,32950000
1641,1641,26700000
844,844,16500000
2974,2974,21066679
1294,1294,20607783
202,202,7245002
2208,2208,29950000
171,171,23300000
2686,2686,76752000
1672,1672,39372318
3234,3234,38500000
2155,2155,7482996
1536,1536,40033063
2269,2269,9500000
967,967,93000000
4285,4285,14915152
639,639,14612749
2765,2765,119836839
4805,4805,34500000
1439,1439,11700000
4714,4714,15962327
1703,1703,29990000
1708,1708,65000000
2906,2906,6370000
261,261,14500000
4742,4742,14698877
264,264,22191190
4049,4049,11372177
4866,4866,39509400
979,979,7104369
783,783,26093185
4454,4454,8733791
2763,2763,12300000
4462,4462,10650000
3546,3546,19500000
663,663,150000000
724,724,135726846
4464,4464,127451573
3054,3054,30000000
2677,2677,31926479
4673,4673,9697530
2562,2562,41021245
150,150,22000000
209,209,243250000
3543,3543,8276531
2744,2744,13400000
3123,3123,35000000
3458,3458,52615000
2252,2252,44000000
3831,3831,34163700
810,810,35104400
4752,4752,71500000
114,114,54000000
1874,1874,14808337
1413,1413,23132200
1688,1688,17900000
981,981,6985647
4212,4212,143500000
3069,3069,21551919
2453,2453,215000000
3963,3963,7461048
1757,1757,10005152
4380,4380,73500000
3275,3275,50000000
3241,3241,210276730
764,764,296485000
3140,3140,8128776
1430,1430,13400000
2719,2719,14682947
3030,3030,17200000
4403,4403,99000000
2545,2545,13491224
271,271,15450000
1728,1728,7670656
217,217,10500000
930,930,50980000
2172,2172,46113210
3068,3068,175720000
2020,2020,45403179
2573,2573,35553614
2335,2335,27900000
4693,4693,17500000
1314,1314,12640500
615,615,90000000
4074,4074,10020267
3479,3479,15805008
1065,1065,15962327
3631,3631,22191190
4498,4498,59990000
1056,1056,16200000
3527,3527,6923761
3581,3581,30018191
3647,3647,9000000
426,426,10073354
2449,2449,5600000
119,119,13645193
4496,4496,7400538
3725,3725,8358120
2355,2355,149000000
3774,3774,61000000
1070,1070,17700000
4641,4641,11000000
4279,4279,63627700
574,574,29641732
1954,1954,19500000
1516,1516,98000000
4666,4666,115000000
3277,3277,12450000
1388,1388,28798635
570,570,6843739
1132,1132,7954114
1487,1487,20000000
1575,1575,138750000
4463,4463,42000000
1426,1426,108000000
335,335,9696622
1174,1174,16950000
1085,1085,14777586
3897,3897,14417346
2878,2878,97192833
3824,3824,13890314
4340,4340,5589983
3128,3128,8873144
944,944,17960468
2881,2881,8251917
815,815,6370000
2382,2382,21000000
4427,4427,16950000
1244,1244,135000000
1274,1274,20000000
3520,3520,90272890
3222,3222,14887154
1862,1862,34812009
3872,3872,8841719
1898,1898,115000000
1538,1538,142000000
2188,2188,250000000
3471,3471,34268000
1998,1998,66490000
4638,4638,12300000
4698,4698,99000000
851,851,18900000
2828,2828,42845675
1406,1406,20495970
2809,2809,135000000
2962,2962,20000000
3582,3582,32819999
2340,2340,19900000
1364,1364,209000000
3421,3421,123000000
3800,3800,27781716
4123,4123,60000000
2971,2971,17130517
834,834,10900000
1512,1512,133844257
2846,2846,11496421
2242,2242,11008338
4782,4782,14090000
3169,3169,7481812
1599,1599,9000000
3590,3590,70075997
2368,2368,27455520
58,58,5664341
134,134,120587020
3572,3572,12540783
51,51,62000000
1226,1226,20600000
4488,4488,51625055
3287,3287,9902149
3327,3327,11900000
899,899,19544281
4480,4480,10800000
1125,1125,15414718
4820,4820,165000000
3834,3834,32548000
1995,1995,15523613
2813,2813,14550000
1026,1026,14729880
1909,1909,8960589
1939,1939,5701491
1902,1902,136520000
2473,2473,29613037
772,772,243000000
678,678,48500000
2301,2301,66960000
3531,3531,16500000
3983,3983,44392530
4506,4506,7776586
4263,4263,24802781
3391,3391,11950000
2403,2403,9122157
3861,3861,36563618
2132,2132,7890000
3271,3271,318000000
4591,4591,7729915
3767,3767,675280000
1101,1101,20910960
1656,1656,31500000
4364,4364,7339312
4234,4234,30368919
4421,4421,160420000
4619,4619,25000000
394,394,183647799
314,314,16990000
400,400,58000000
4225,4225,24760400
4208,4208,9970971
3267,3267,12749000
845,845,35121475
1061,1061,49000000
127,127,11490000
513,513,28740496
3328,3328,80000000
324,324,26500000
1747,1747,17858691
1373,1373,34149478
4265,4265,12300000
3642,3642,19990000
4550,4550,142440000
4241,4241,7467284
304,304,95850000
879,879,290000000
4586,4586,88894735
3090,3090,65200000
221,221,44392530
169,169,53892000
3356,3356,8730900
4817,4817,50000000
1015,1015,14500000
3910,3910,25854582
3063,3063,150000000
3015,3015,22465666
852,852,38187900
1058,1058,60000000
4420,4420,45900000
819,819,9419190
2362,2362,27000000
3130,3130,88184700
4630,4630,67000000
4651,4651,23600000
2693,2693,8320000
2337,2337,55000000
3242,3242,90000000
3690,3690,8607587
3977,3977,6300625
4831,4831,103270572
4224,4224,16116000
4869,4869,11000000
2542,2542,7057670
3878,3878,78000000
3250,3250,53000000
3103,3103,96287120
2594,2594,57566724
3692,3692,14900000
2683,2683,185848441
2981,2981,11843661
82,82,15990000
48,48,16587074
774,774,58000000
3716,3716,9605546
1347,1347,26509404
1269,1269,20174859
2900,2900,65000000
3618,3618,33000000
4098,4098,5782840
2314,2314,35500000
425,425,6900000
3281,3281,85000000
999,999,24070000
965,965,27000000
3528,3528,13437867
713,713,8744632
3214,3214,18900000
496,496,18648850
751,751,218430000
1962,1962,17700000
1797,1797,120000000
510,510,199000000
3783,3783,7772460
3788,3788,9934091
3896,3896,8474495
1558,1558,6832024
4106,4106,112000000
2921,2921,13208000
1696,1696,9997455
4575,4575,112630000
1515,1515,33851500
3441,3441,110761560
548,548,54890000
2068,2068,21941564
3092,3092,35000000
3698,3698,22439606
2059,2059,14899000
460,460,27957272
945,945,20500000
597,597,42704692
3416,3416,74000000
1469,1469,85000000
1980,1980,28058677
1945,1945,16845032
1027,1027,82000000
57,57,30064020
3097,3097,73350000
4135,4135,135000000
3656,3656,11999000
205,205,18500000
575,575,73000000
3236,3236,57080700
3630,3630,43776822
10,10,89010000
4754,4754,31000000
1397,1397,51800000
2508,2508,72500000
3941,3941,18950000
1407,1407,9760299
1707,1707,19500000
4365,4365,9200000
1030,1030,32674530
2389,2389,159355500
3804,3804,7200000
2663,2663,17800000
1120,1120,59384010
4654,4654,10008742
2546,2546,15171780
1110,1110,6187537
4254,4254,10560107
2344,2344,9822241
2871,2871,14100000
2057,2057,13500000
3864,3864,40000000
3084,3084,8697036
3179,3179,20005137
3166,3166,56000000
2190,2190,22208503
2633,2633,9900000
3689,3689,67490000
1328,1328,234583016
2718,2718,16999000
596,596,61000000
558,558,33366060
403,403,12000000
216,216,105597484
1711,1711,12204000
2194,2194,7499676
331,331,300000000
2084,2084,68867924
1812,1812,14800000
3300,3300,68515736
4139,4139,16679295
4843,4843,6487410
3232,3232,6291240
278,278,28109700
73,73,40000000
624,624,16275573
626,626,119371069
489,489,70223810
3272,3272,11500000
4741,4741,20176941
2414,2414,60000000
3748,3748,9339507
4031,4031,150760000
4792,4792,75103085
4882,4882,97164350
3315,3315,117444113
4165,4165,121970000
1169,1169,20577230
2263,2263,24500000
3480,3480,39000000
856,856,9109030
4453,4453,214430000
691,691,6600000
3259,3259,14406557
4072,4072,12046650
4671,4671,29303700
4128,4128,28000000
3794,3794,34040319
3283,3283,13600000
3311,3311,78000000
219,219,11698416
2544,2544,7290000
467,467,19500000
2676,2676,6721716
4700,4700,11800000
243,243,7249481
1858,1858,75000000
4624,4624,35000000
3870,3870,26192380
894,894,7185491
1947,1947,75918250
1896,1896,24000000
701,701,10218540
2831,2831,123000000
379,379,110000000
4102,4102,89465815
287,287,10650000
3115,3115,21586085
494,494,33325847
1473,1473,126110000
1007,1007,24500000
289,289,32544000
2731,2731,11900000
4411,4411,7586954
1322,1322,8323928
4515,4515,7908155
2931,2931,28014688
1913,1913,10990000
4784,4784,25667019
1261,1261,23300000
3937,3937,46000000
90,90,149258558
2228,2228,13800000
2960,2960,28000000
1729,1729,6755400
424,424,41822550
1321,1321,7456918
1530,1530,14800000
3838,3838,15950000
4449,4449,20300000
191,191,73016000
179,179,13650000
192,192,45000000
162,162,19796539
3316,3316,17500000
44,44,130000000
3517,3517,18288906
3985,3985,42000000
2143,2143,17600000
1272,1272,52500000
3640,3640,110000000
2503,2503,38000000
4652,4652,131221490
1506,1506,7624876
2146,2146,17500000
3659,3659,26908020
4393,4393,61950000
4691,4691,39969250
2869,2869,12900000
720,720,8700000
3264,3264,8116101
985,985,12550000
2229,2229,25900000
2271,2271,155350000
2783,2783,13215719
3204,3204,14950000
2537,2537,12000000
4542,4542,9755689
1659,1659,22691340
2022,2022,84714335
286,286,10872765
613,613,8750518
2638,2638,150206875
3475,3475,8739866
4612,4612,19203540
527,527,7263755
3849,3849,11598840
821,821,18000000
4749,4749,107900000
3261,3261,67500000
4043,4043,16065003
2436,2436,24619349
753,753,17444160
189,189,8880000
3484,3484,200000000
4354,4354,39999800
4643,4643,68000000
3595,3595,10540000
3681,3681,72732291
2076,2076,41500000
995,995,20000000
391,391,243000000
630,630,75000000
676,676,85000000
3545,3545,22630300
1855,1855,290000000
1965,1965,175400000
228,228,6497187
1277,1277,66000000
2054,2054,37237200
1511,1511,7584663
1974,1974,59900000
1118,1118,59000000
2320,2320,19300000
3820,3820,26800000
2841,2841,17000000
2570,2570,19787991
808,808,16400000
1921,1921,13400000
1303,1303,6298097
4529,4529,9990000
1355,1355,5813470
1563,1563,63000000
868,868,60251280
1177,1177,18300000
2815,2815,10760000
70,70,15509395
793,793,8128776
1485,1485,28306573
1591,1591,24000000
2674,2674,20500000
2696,2696,13500000
3057,3057,37000000
812,812,24900000
3257,3257,48990000
4083,4083,6825000
3884,3884,14900000
