,floor_num,total_area,kitchen_area,rooms_count,living_area,is_apartments,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
0,11,31.0,12.0,1.0,9.0,f,26,ЮАО,р-н Царицыно,Каширская,transport,4,10846590
1,10,81.6,10.7,3.0,52.3,f,17,ЗАО,р-н Очаково-Матвеевское,Очаково,walk,10,24500000
2,26,167.7,10.8,6.0,80.0,f,26,СЗАО,р-н Хорошево-Мневники,Звенигородская,walk,7,136893510
3,5,172.0,20.0,5.0,127.0,f,20,ЦАО,р-н Пресненский,Москва-Сити,walk,12,141900000
4,3,217.9,,5.0,,f,22,ЗАО,р-н Раменки,Ломоносовский проспект,walk,12,130000000
5,3,66.4,17.8,4.0,31.5,f,18,НАО (Новомосковский),м. Бунинская аллея,Бунинская аллея,transport,13,13240586
6,17,41.0,20.4,1.0,,f,17,НАО (Новомосковский),м. Бунинская аллея,Бунинская аллея,transport,6,10600000
7,1,189.7,,5.0,,t,28,САО,р-н Ховрино,Речной вокзал,walk,20,43681000
8,14,20.8,5.3,,8.4,f,14,НАО (Новомосковский),м. Коммунарка,Коммунарка,walk,13,8517778
9,2,58.3,6.2,3.0,44.5,f,9,ЮАО,р-н Чертаново Южное,Улица Академика Янгеля,walk,10,12700000
10,2,40.0,10.0,,20.0,t,2,ЮАО,р-н Даниловский,ЗИЛ,walk,12,9900000
11,8,64.1,18.7,4.0,31.6,f,10,НАО (Новомосковский),м. Коммунарка,Коммунарка,walk,13,13867791
12,8,64.5,27.2,2.0,,t,9,ЦАО,р-н Тверской,Маяковская,walk,1,89010000
13,5,124.0,,4.0,,,8,ЮАО,р-н Даниловский,Шаболовская,walk,11,150000000
14,5,33.1,6.8,1.0,19.0,f,9,САО,р-н Восточное Дегунино,Дегунино,walk,3,9990000
15,7,60.0,5.8,3.0,43.6,f,9,ЗАО,р-н Кунцево,Кунцевская,walk,6,22800000
16,2,33.9,,1.0,11.3,f,48,СЗАО,р-н Покровское-Стрешнево,Тушинская,walk,4,13509421
17,5,35.3,10.6,1.0,16.2,f,12,ЗАО,р-н Очаково-Матвеевское,Аминьевская,walk,13,18850052
18,4,145.0,14.2,5.0,82.8,f,5,ЦАО,р-н Замоскворечье,Новокузнецкая,walk,7,85000000
19,4,216.0,20.0,4.0,152.0,,6,ЦАО,р-н Якиманка,Боровицкая,walk,12,350000000
20,10,54.0,,2.0,,,21,ЦАО,р-н Пресненский,Улица 1905 года,walk,7,61800000
21,30,139.02,6.2,5.0,101.5,f,30,ЗАО,р-н Можайский,Рабочий посёлок,transport,4,52722487
22,7,77.2,,2.0,,f,12,ЦАО,р-н Хамовники,Фрунзенская,walk,8,104900000
23,11,245.0,30.0,5.0,170.0,f,30,ЗАО,р-н Проспект Вернадского,Новаторская,walk,11,190000000
24,4,44.8,6.2,2.0,27.4,f,12,ЮЗАО,р-н Теплый Стан,Коньково,walk,4,13500000
25,4,45.3,,2.0,,f,18,ЮАО,р-н Донской,Ленинский проспект,walk,7,37835597
26,27,47.26,,1.0,13.2,f,28,ЮАО,р-н Нагатино-Садовники,Нагатинская,walk,4,23954676
27,11,30.1,11.5,1.0,10.5,t,29,ЮЗАО,р-н Черемушки,Новые Черёмушки,walk,11,12341000
28,7,90.5,6.3,4.0,54.6,f,9,НАО (Новомосковский),м. Аэропорт Внуково,Аэропорт Внуково,transport,17,19186000
29,3,230.1,,6.0,,f,3,ЦАО,р-н Хамовники,Кропоткинская,walk,2,184080000
30,11,20.85,,,12.5,t,21,ЗАО,р-н Тропарево-Никулино,Озёрная,walk,17,5921400
31,21,20.8,5.1,,10.3,f,24,ЗАО,р-н Солнцево,Солнцево,walk,17,9197448
