id,cian_id,balcony,floor_num,garage,total_area,kitchen_area,rooms_count,living_area,is_apartments,bedrooms_count,year_built,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
1,293713671,None,2,None,72.6,31.0,1,14.2,f,None,None,14,ЦАО,р-н Якиманка,Полянка,transport,2,133260000
2,300932847,1,10,None,65.2,10.0,1,40.0,f,None,2003,14,ЦАО,р-н Мещанский,Проспект Мира,walk,6,35000000
3,301575583,None,4,None,68.62,16.4,1,36.0,f,None,None,13,ЦАО,р-н Мещанский,Цветной бульвар,walk,8,86856437
4,297643594,None,11,None,43.6,None,1,None,t,None,2015,21,ЗАО,р-н Филевский парк,Фили,walk,16,18000000
5,287317369,None,5,None,65.9,24.9,1,18.8,f,None,None,21,ЦАО,р-н Пресненский,Улица 1905 года,walk,9,78259545
1221,300833206,0,1,None,34.1,10.0,1,19.0,None,None,1965,12,ЮЗАО,р-н Черемушки,Калужская,walk,16,10900000
6,298474072,None,23,None,54.0,13.1,1,28.6,f,None,None,23,СЗАО,р-н Хорошево-Мневники,Терехово ,walk,18,29000000
7,299093496,None,18,None,37.7,None,1,13.0,f,None,None,41,ЮАО,р-н Даниловский,Павелецкая,walk,17,24335267
8,301478863,None,37,None,48.0,6.0,1,34.0,f,None,2021,37,САО,р-н Хорошевский,Аэропорт,walk,12,40000000
9,299898685,None,5,None,49.8,None,1,11.3,f,None,None,18,ЦАО,р-н Хамовники,Воробьёвы горы,walk,15,49737000
10,287678758,None,4,None,46.0,None,1,None,f,None,2021,26,ЗАО,р-н Очаково-Матвеевское,Давыдково,transport,4,32000000
11,300288766,None,40,None,29.14,None,1,9.0,f,None,None,54,САО,р-н Савеловский,Дмитровская,walk,6,17858691
1223,301058394,0,3,None,32.9,15.2,1,10.9,None,None,None,22,ЗАО,р-н Солнцево,Солнцево,walk,15,10950000
1227,298556528,None,2,None,34.9,7.0,1,21.0,f,None,1973,14,ЗАО,р-н Можайский,Рабочий посёлок,walk,9,10900000
12,298210838,None,13,None,60.9,25.0,1,13.5,f,None,None,44,СЗАО,р-н Хорошево-Мневники,Шелепиха,transport,4,25500000
13,301260582,None,14,None,28.1,None,1,15.6,f,None,None,27,ЮАО,р-н Даниловский,Серпуховская,walk,20,19203540
14,300609717,0,4,None,40.0,10.4,1,None,f,None,2022,7,НАО (Новомосковский),м. Санино,Санино,walk,11,9850000
15,297972137,None,2,None,54.7,20.8,1,15.5,f,None,None,5,ЦАО,р-н Тверской,Площадь Революции,walk,3,126110000
23,293911220,None,3,None,45.6,19.0,1,12.9,f,None,None,7,ЦАО,р-н Якиманка,Новокузнецкая,walk,10,94392000
1272,296320740,1,2,None,44.7,12.0,1,None,f,None,None,7,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,8,12046650
16,293760838,1,18,None,42.4,None,1,None,f,None,2022,48,СЗАО,р-н Хорошево-Мневники,Народное Ополчение,walk,9,19450000
17,299934983,None,3,None,56.33,21.3,1,16.3,f,None,None,13,ЗАО,м. Опалиха,Опалиха,transport,11,24914759
18,298087113,0,4,None,39.7,15.9,1,9.6,None,None,None,46,ЮЗАО,р-н Обручевский,Калужская,walk,18,19000000
19,298342641,None,2,None,42.3,15.6,1,12.9,f,None,None,20,ЗАО,р-н Филевский парк,Народное Ополчение,transport,3,21645206
20,301734970,None,6,None,59.2,27.0,1,20.0,None,None,None,12,ЗАО,р-н Раменки,Ломоносовский проспект,transport,4,68000000
21,299137613,None,4,None,45.87,15.1,1,13.4,f,None,None,12,ЗАО,м. Павшино,Павшино,transport,24,22499235
22,299888104,None,44,None,52.0,None,1,None,t,None,None,65,ЦАО,р-н Пресненский,Москва-Сити,walk,2,44000000
1460,301755537,None,14,None,38.86,18.2,1,11.7,f,None,None,57,СВАО,р-н Бутырский,Бутырская,walk,4,19076728
1552,299132409,None,27,None,47.26,None,1,13.2,f,None,None,28,ЮАО,р-н Нагатино-Садовники,Нагатинская,walk,4,23954676
1656,300112862,None,4,None,60.07,6.5,1,47.1,t,None,None,6,ЦАО,р-н Замоскворечье,Новокузнецкая,walk,10,64815530
24,297087850,None,51,None,123.0,15.0,1,69.0,t,None,None,75,ЦАО,р-н Пресненский,Деловой центр,walk,3,99000000
25,292406316,None,2,None,30.45,None,1,None,t,None,None,14,ЗАО,р-н Дорогомилово,Киевская,walk,8,29201550
26,301616082,1,4,None,30.1,7.0,1,None,f,None,1971,9,ВАО,р-н Перово,Перово,walk,15,12200000
27,298849163,None,3,None,45.5,19.5,1,14.0,f,None,None,10,ЗАО,м. Павшино,Павшино,transport,24,23132200
28,300549135,0,8,None,46.4,None,1,None,f,None,2020,11,ЗАО,р-н Дорогомилово,Киевская,walk,15,46000000
29,300266286,None,3,None,51.4,None,1,None,f,None,None,14,ЦАО,р-н Пресненский,Белорусская,walk,11,50980000
30,299330003,None,63,None,86.0,19.0,1,38.0,t,None,None,66,ЦАО,р-н Пресненский,Деловой центр,walk,4,96000000
135,297989333,None,20,None,39.09,18.8,1,10.8,f,None,None,20,ЮАО,р-н Даниловский,Тульская,walk,17,19612821
1555,299132409,None,27,None,47.26,None,1,13.2,f,None,None,28,ЮАО,р-н Нагатино-Садовники,Нагатинская,walk,4,23954676
31,297997304,None,2,None,101.91,None,1,None,f,None,None,14,ЦАО,р-н Хамовники,Киевская,walk,13,183834633
32,299893948,0,5,None,38.9,5.0,1,33.9,t,None,1980,16,СВАО,р-н Отрадное,Владыкино,walk,4,11300000
33,274788987,None,8,None,111.7,None,1,None,f,None,None,8,ЦАО,р-н Арбат,Смоленская,walk,9,88184211
34,301505612,0,5,None,34.6,8.4,1,19.7,f,None,1970,14,ЮАО,р-н Нагорный,Севастопольская,walk,10,13650000
41,294328835,1,3,None,78.7,33.2,1,15.7,f,None,None,6,ЦАО,р-н Басманный,Чистые пруды,walk,5,160420000
35,300583268,None,2,None,36.06,13.5,1,None,f,None,None,54,СЗАО,р-н Хорошево-Мневники,Полежаевская,walk,14,20713585
36,297233032,1,12,None,39.0,7.1,1,18.0,f,None,1967,12,ВАО,р-н Гольяново,Щёлковская,walk,2,9750000
37,299132337,None,18,None,40.2,None,1,12.7,f,None,None,25,ЮАО,р-н Нагатино-Садовники,Нагатинская,walk,6,23432905
38,300329807,None,3,None,48.0,5.0,1,22.0,None,None,2022,18,ЗАО,р-н Раменки,Аминьевская,walk,9,31990000
39,301581497,None,5,None,58.2,None,1,None,f,None,None,23,ЮАО,р-н Нагатинский затон,Технопарк,walk,5,25537891
40,301083049,0,45,None,43.1,None,1,None,f,None,2022,52,СЗАО,р-н Хорошево-Мневники,Народное Ополчение,walk,9,25450000
1478,298139152,None,3,None,31.3,None,1,None,f,None,None,19,ЦАО,р-н Басманный,Бауманская,walk,9,19800000
42,301362066,0,8,None,33.0,7.0,1,19.0,f,None,1976,9,ЮЗАО,р-н Черемушки,Новые Черёмушки,walk,13,10540000
43,291868741,None,3,None,54.02,19.0,1,15.1,f,None,None,13,ЗАО,м. Павшино,Павшино,transport,24,29997306
44,301203125,0,9,None,38.0,17.7,1,14.0,f,None,2022,30,ЮВАО,р-н Южнопортовый,Волгоградский проспект,walk,5,14000000
45,296523631,None,3,None,40.8,None,1,None,f,None,None,36,САО,р-н Беговой,Белорусская,walk,5,28058677
46,300647536,0,4,None,38.7,8.6,1,20.8,None,None,1982,12,ЮАО,р-н Нагатино-Садовники,Каширская,walk,14,12550000
1480,301551485,None,9,None,40.6,None,1,11.8,f,None,None,34,САО,р-н Левобережный,Беломорская,walk,16,20166020
47,301346263,None,8,None,44.6,21.4,1,13.8,f,None,None,14,ЗАО,р-н Раменки,Ломоносовский проспект,transport,2,25870000
48,297331054,0,16,None,37.0,12.0,1,None,f,None,2018,32,ЮВАО,р-н Марьино,Курьяново,walk,8,15600000
49,301266106,None,8,None,47.4,4.7,1,28.4,f,None,None,23,ЦАО,р-н Басманный,Бауманская,walk,13,20761200
50,298159475,0,3,None,35.0,10.0,1,None,None,None,2023,32,СЗАО,р-н Хорошево-Мневники,Шелепиха,walk,8,19000000
51,282960185,None,2,None,42.7,9.5,1,11.9,f,None,None,19,СЗАО,р-н Покровское-Стрешнево,Спартак,walk,13,22191190
142,295766411,1,9,None,35.3,None,1,None,f,None,1980,9,ЮВАО,р-н Люблино,Братиславская,walk,12,8977500
52,300136415,None,12,None,54.5,11.2,1,23.0,f,None,1975,14,ЦАО,р-н Пресненский,Краснопресненская,walk,11,35700000
53,301623904,None,2,None,40.9,19.4,1,11.9,f,None,None,16,ВАО,р-н Преображенское,Преображенская площадь,walk,7,17295455
54,300443381,1,4,None,31.6,5.3,1,21.2,f,None,1962,9,САО,р-н Тимирязевский,Тимирязевская,walk,6,12250000
55,301346487,None,2,None,37.76,19.5,1,11.5,f,None,None,21,СВАО,р-н Марфино,Телецентр,walk,11,20490000
56,295758505,None,6,None,32.8,6.8,1,18.7,f,None,None,9,ЮВАО,р-н Печатники,Печатники,walk,3,8900000
57,282209329,None,2,None,42.52,None,1,None,f,None,None,57,ЗАО,р-н Филевский парк,Фили,walk,5,24463584
58,300313530,None,12,None,41.6,8.5,1,19.0,f,None,None,17,ВАО,р-н Косино-Ухтомский,Лухмановская,transport,5,8900000
149,301556311,None,2,None,35.0,9.7,1,12.7,f,None,None,37,ЮВАО,р-н Нижегородский,Нижегородская,walk,18,13645193
59,301268679,None,4,None,32.6,None,1,None,t,None,None,15,СВАО,р-н Останкинский,Алексеевская,walk,4,18288906
60,297263854,None,2,None,38.3,9.0,1,None,f,None,None,14,ЮЗАО,р-н Южное Бутово,Бутово,walk,5,9300000
61,301513625,None,6,None,30.7,None,1,None,f,None,None,22,СВАО,р-н Марьина роща,Савёловская,walk,13,16065003
62,299740960,None,15,None,34.6,10.0,1,19.2,f,None,None,17,ЮЗАО,р-н Ясенево,Новоясеневская,walk,17,9000000
